Date,Symbol,EntryPrice,Result15Before7,DecisionDay15Before7,Target18BeforeStop7,Target18DecisionDay,Target25BeforeStop7,Target25DecisionDay,Target30BeforeStop7,Target30DecisionDay,CloseReturn5D,CloseReturn10D,CloseReturn15D,CloseReturn20D,CloseReturn30D,RuleBasedReturn
2024-08-13,21STCENMGM-EQ,99.1,SUCCESS,10.0,SUCCESS,11.0,SUCCESS,14.0,SUCCESS,16.0,6.064581231079713,17.083753784056512,29.253279515640784,38.193743693239156,14.732593340060562,15.0
2024-08-29,21STCENMGM-EQ,118.35,SUCCESS,8.0,SUCCESS,9.0,STOPPED_OUT,21.0,STOPPED_OUT,21.0,10.39290240811155,13.400929446556841,4.174059991550494,-5.855513307984783,-9.75918884664132,15.0
2024-09-09,21STCENMGM-EQ,135.92,STOPPED_OUT,7.0,STOPPED_OUT,7.0,STOPPED_OUT,7.0,STOPPED_OUT,7.0,-3.619776339022951,-12.889935256032947,-21.27722189523248,-25.949087698646256,-13.309299587992928,-7.0
2024-09-10,21STCENMGM-EQ,138.63,STOPPED_OUT,4.0,STOPPED_OUT,4.0,STOPPED_OUT,4.0,STOPPED_OUT,4.0,-7.393782009666017,-16.302387650580673,-24.359806679650863,-25.946764769530407,-16.70634061891365,-7.0
2025-04-04,21STCENMGM-EQ,71.78,STOPPED_OUT,20.0,STOPPED_OUT,20.0,STOPPED_OUT,20.0,STOPPED_OUT,20.0,1.7832265254945634,10.253552521593768,2.2847589857899253,-6.965728615213152,-1.1841738645862243,-7.0
2025-12-15,21STCENMGM-EQ,45.77,SUCCESS,8.0,STOPPED_OUT,24.0,STOPPED_OUT,24.0,STOPPED_OUT,24.0,8.608258684727987,10.683854052873043,5.72427354162115,-1.1361153594057316,-18.592964824120617,15.0
2025-12-17,21STCENMGM-EQ,47.6,STOPPED_OUT,20.0,STOPPED_OUT,20.0,STOPPED_OUT,20.0,STOPPED_OUT,20.0,8.634453781512597,2.941176470588225,-0.31512605042016695,-8.067226890756308,-21.764705882352942,-7.0
2025-12-19,21STCENMGM-EQ,48.94,STOPPED_OUT,15.0,STOPPED_OUT,15.0,STOPPED_OUT,15.0,STOPPED_OUT,15.0,5.619125459746632,1.042092357989377,-6.518185533306086,-14.098896608091538,-21.005312627707397,-7.0
2026-04-24,21STCENMGM-EQ,35.76,STOPPED_OUT,12.0,STOPPED_OUT,12.0,STOPPED_OUT,12.0,STOPPED_OUT,12.0,2.6006711409396033,-4.166666666666652,-11.91275167785234,-8.053691275167774,-8.19351230425056,-7.0
2026-04-27,21STCENMGM-EQ,36.45,STOPPED_OUT,10.0,STOPPED_OUT,10.0,STOPPED_OUT,10.0,STOPPED_OUT,10.0,-1.3443072702332026,-7.681755829903992,-15.171467764060353,-8.010973936899868,-11.193415637860094,-7.0
2021-04-01,360ONE-EQ,327.24,STOPPED_OUT,6.0,STOPPED_OUT,6.0,STOPPED_OUT,6.0,STOPPED_OUT,6.0,-4.678523407896352,-14.264759809314265,-14.081408140814078,-13.629140691846963,-15.435154626573766,-7.0
2021-07-15,360ONE-EQ,320.73,SUCCESS,3.0,SUCCESS,13.0,SUCCESS,13.0,SUCCESS,16.0,2.8435132354316828,10.008418295762777,26.894896018457892,20.76512954821812,20.858666167804696,15.0
2021-07-16,360ONE-EQ,347.23,STOPPED_OUT,6.0,STOPPED_OUT,6.0,STOPPED_OUT,6.0,STOPPED_OUT,6.0,-5.204043429427174,3.139129683495079,16.101719321487185,8.25965498372836,16.778504161506767,-7.0
2021-09-09,360ONE-EQ,418.69,STOPPED_OUT,7.0,STOPPED_OUT,7.0,STOPPED_OUT,7.0,STOPPED_OUT,7.0,-1.227638587021418,-2.0086460149513985,-4.4639231889942455,-5.911294752680984,-5.553034464639706,-7.0
2021-09-13,360ONE-EQ,422.71,STOPPED_OUT,5.0,STOPPED_OUT,5.0,STOPPED_OUT,5.0,STOPPED_OUT,5.0,-6.046698682311746,-4.868586028246313,-5.218707861181427,-6.588441248137011,-7.470842894655904,-7.0
2021-10-18,360ONE-EQ,425.74,STOPPED_OUT,4.0,STOPPED_OUT,4.0,STOPPED_OUT,4.0,STOPPED_OUT,4.0,-7.117019777328892,-6.454643679240856,-6.71536618593509,-7.13815944003382,-13.5387795368065,-7.0
2021-10-21,360ONE-EQ,441.59,STOPPED_OUT,1.0,STOPPED_OUT,1.0,STOPPED_OUT,1.0,STOPPED_OUT,1.0,-5.785910007020078,-9.257456011232135,-10.747525985642792,-13.539708779637216,-15.385312167395092,-7.0
2022-03-31,360ONE-EQ,417.23,STOPPED_OUT,27.0,STOPPED_OUT,27.0,STOPPED_OUT,27.0,STOPPED_OUT,27.0,5.483785921434214,5.864870694820601,4.822280277065416,6.0709920187906,-6.96977686168302,-7.0
2022-07-20,360ONE-EQ,403.24,TIMEOUT,,TIMEOUT,,TIMEOUT,,TIMEOUT,,1.6243428231326185,4.250570379922625,2.678305723638541,4.389445491518695,3.5239559567503242,3.5239559567503242
2022-07-29,360ONE-EQ,417.99,TIMEOUT,,TIMEOUT,,TIMEOUT,,TIMEOUT,,-0.8875810426086872,-0.7392521352185488,0.37082226847533484,0.32775903729753697,2.265604440297597,2.265604440297597
2022-08-03,360ONE-EQ,420.38,TIMEOUT,,TIMEOUT,,TIMEOUT,,TIMEOUT,,-1.5081592844569114,0.13321280745992592,-0.8444740472905443,-0.6969884390313541,8.22351206051668,8.22351206051668
2022-08-19,360ONE-EQ,420.94,SUCCESS,21.0,TIMEOUT,,TIMEOUT,,TIMEOUT,,-0.9763861833040344,-0.8290967833895602,2.803249869340041,8.079536275953814,11.343659428897235,15.0
2022-09-06,360ONE-EQ,425.43,TIMEOUT,,TIMEOUT,,TIMEOUT,,TIMEOUT,,0.4113485179700449,11.097007733352138,5.361634111369673,8.490233410901915,11.346167407093999,11.346167407093999
2022-09-07,360ONE-EQ,429.34,TIMEOUT,,TIMEOUT,,TIMEOUT,,TIMEOUT,,-0.437881399357154,9.325942143755528,3.2608189313830582,5.394326175059394,5.310476545395271,5.310476545395271
2022-09-08,360ONE-EQ,448.71,TIMEOUT,,TIMEOUT,,TIMEOUT,,TIMEOUT,,-4.909629827728368,2.919480287936538,-1.923291212587197,1.9923781506986593,-2.5473022664972977,-2.5473022664972977
2022-09-16,360ONE-EQ,454.79,TIMEOUT,,TIMEOUT,,TIMEOUT,,TIMEOUT,,-3.524703709404342,1.1631742122737876,-2.0185140394467838,3.489522636821385,-1.2445304426218717,-1.2445304426218717
2022-09-20,360ONE-EQ,472.64,STOPPED_OUT,3.0,STOPPED_OUT,3.0,STOPPED_OUT,3.0,STOPPED_OUT,3.0,-5.162491536899116,-2.3463947190250467,-4.688557887610012,0.2242721733243025,-2.34004739336493,-7.0
