Model,Features,Threshold,Trades,Success15Before7Pct,Stop7Before15Pct,AverageRuleBasedReturnPct,Average20DayReturnPct
Mix_MidPct50EMA_LargePct50EMA_MicroPct200EMA,MidPct50EMA | LargePct50EMA | MicroPct200EMA,70,17334,30.91,41.398,2.468,3.812
Mix_MidPct50EMA_LargePct50EMA_MicroPct200EMA,MidPct50EMA | LargePct50EMA | MicroPct200EMA,75,12818,31.05,41.028,2.515,4.004
Mix_MidPct50EMA_LargePct50EMA_MicroPct200EMA,MidPct50EMA | LargePct50EMA | MicroPct200EMA,80,9323,31.31,41.532,2.481,4.218
Mix_MidPct50EMA_LargePct50EMA_SmallPct200EMA,MidPct50EMA | LargePct50EMA | SmallPct200EMA,50,36958,29.609,44.207,2.057,3.233
Mix_MidPct50EMA_LargePct50EMA_SmallPct200EMA,MidPct50EMA | LargePct50EMA | SmallPct200EMA,55,31291,29.66,43.735,2.118,3.392
Mix_MidPct50EMA_LargePct50EMA_SmallPct200EMA,MidPct50EMA | LargePct50EMA | SmallPct200EMA,60,27064,29.914,43.079,2.21,3.518
Mix_MidPct50EMA_LargePct50EMA_SmallPct200EMA,MidPct50EMA | LargePct50EMA | SmallPct200EMA,65,21995,30.866,41.359,2.475,3.821
Mix_MidPct50EMA_LargePct50EMA_SmallPct200EMA,MidPct50EMA | LargePct50EMA | SmallPct200EMA,70,17376,30.801,40.838,2.505,3.811
Mix_MidPct50EMA_LargePct50EMA_SmallPct200EMA,MidPct50EMA | LargePct50EMA | SmallPct200EMA,75,13746,31.413,40.317,2.618,4.079
Mix_MidPct50EMA_LargePct50EMA_SmallPct200EMA,MidPct50EMA | LargePct50EMA | SmallPct200EMA,80,10166,31.005,41.521,2.445,4.139
Mix_MidPct50EMA_PctAbove200EMA_PctAbove50EMA,MidPct50EMA | PctAbove200EMA | PctAbove50EMA,50,37869,29.599,44.525,2.027,2.986
Mix_MidPct50EMA_PctAbove200EMA_PctAbove50EMA,MidPct50EMA | PctAbove200EMA | PctAbove50EMA,55,32859,29.456,44.49,2.007,2.89
Mix_MidPct50EMA_PctAbove200EMA_PctAbove50EMA,MidPct50EMA | PctAbove200EMA | PctAbove50EMA,60,28542,29.998,44.089,2.117,3.108
Mix_MidPct50EMA_PctAbove200EMA_PctAbove50EMA,MidPct50EMA | PctAbove200EMA | PctAbove50EMA,65,21845,30.671,43.52,2.227,3.405
Mix_MidPct50EMA_PctAbove200EMA_PctAbove50EMA,MidPct50EMA | PctAbove200EMA | PctAbove50EMA,70,18028,30.841,42.517,2.337,3.576
Mix_MidPct50EMA_PctAbove200EMA_PctAbove50EMA,MidPct50EMA | PctAbove200EMA | PctAbove50EMA,75,13155,30.042,43.474,2.119,3.518
Mix_MidPct50EMA_PctAbove200EMA_PctAbove50EMA,MidPct50EMA | PctAbove200EMA | PctAbove50EMA,80,9719,29.334,43.791,2.007,3.691
