Model,Features,Threshold,Folds,TotalTrades,AverageSuccessPct,AverageStopPct,AverageRuleBasedReturnPct,Average20DayReturnPct,QualityScore
Mix_MidPct50EMA_SmallPct50EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | PctAbove50EMA,50,4,29766,26.068,45.541,1.459,2.144,1.396
Mix_SmallPct50EMA_LargePct50EMA_PctAbove50EMA,SmallPct50EMA | LargePct50EMA | PctAbove50EMA,60,4,23742,26.368,45.21,1.426,2.262,1.389
Mix_SmallPct50EMA_PctAbove200EMA_MicroPct200EMA_SmallPct200EMA,SmallPct50EMA | PctAbove200EMA | MicroPct200EMA | SmallPct200EMA,80,2,10501,27.806,48.237,1.438,3.093,1.381
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove50EMA,55,4,26857,26.315,45.524,1.43,2.188,1.38
Mix_PctAbove200EMA_MicroPct200EMA_SmallPct200EMA,PctAbove200EMA | MicroPct200EMA | SmallPct200EMA,75,2,17485,27.778,47.868,1.426,2.483,1.379
Mix_SmallPct50EMA_LargePct50EMA_PctAbove50EMA,SmallPct50EMA | LargePct50EMA | PctAbove50EMA,50,4,29775,26.199,45.578,1.435,2.186,1.378
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove50EMA,65,4,20479,26.33,45.563,1.424,2.24,1.374
Top_3_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA,60,4,24054,26.238,45.42,1.415,2.229,1.364
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA,60,4,24054,26.238,45.42,1.415,2.229,1.364
Mix_MidPct50EMA_SmallPct50EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | PctAbove50EMA,55,4,26158,26.149,45.539,1.422,2.14,1.363
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove50EMA,60,4,24096,26.291,45.62,1.402,2.16,1.348
Mix_SmallPct50EMA_PctAbove200EMA_MicroPct200EMA,SmallPct50EMA | PctAbove200EMA | MicroPct200EMA,80,2,9622,27.711,48.371,1.41,3.065,1.345
Mix_PctAbove200EMA_PctAbove50EMA_SmallPct200EMA,PctAbove200EMA | PctAbove50EMA | SmallPct200EMA,80,2,9166,27.676,48.446,1.394,3.081,1.324
Mix_PctAbove50EMA_MicroPct200EMA_SmallPct200EMA,PctAbove50EMA | MicroPct200EMA | SmallPct200EMA,80,2,9061,27.665,48.532,1.386,3.089,1.313
Mix_SmallPct50EMA_LargePct50EMA_PctAbove50EMA,SmallPct50EMA | LargePct50EMA | PctAbove50EMA,55,4,27046,26.234,45.908,1.374,2.187,1.308
Mix_MidPct50EMA_SmallPct50EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | PctAbove50EMA,60,4,23229,25.989,45.987,1.357,1.937,1.277
Mix_MidPct50EMA_SmallPct50EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | PctAbove50EMA,65,4,20811,25.928,46.128,1.351,1.999,1.264
Mix_MidPct50EMA_LargePct50EMA_PctAbove50EMA,MidPct50EMA | LargePct50EMA | PctAbove50EMA,70,4,17433,25.924,45.969,1.344,2.159,1.261
