Date,Total_Universe,Advances,Declines,Above_20_EMA,Above_50_EMA,Above_200_EMA,Up_4_Count,Down_4_Count,Up_25_1M_Count,Down_25_1M_Count,New_52W_Highs,New_52W_Lows,Total_Up_Volume,Total_Down_Volume,T3_Breakouts,T3_Wins,Pct_Above_20_EMA,Pct_Above_50_EMA,Pct_Above_200_EMA,Rolling_3D_Up_4,Rolling_3D_Down_4,Net_52W_High_Low,Volume_Ratio,AD_Spread,MCO,TRIN,Large_Pct_20_EMA,Large_Pct_50_EMA,Large_Pct_200_EMA,Mid_Pct_20_EMA,Mid_Pct_50_EMA,Mid_Pct_200_EMA,Small_Pct_20_EMA,Small_Pct_50_EMA,Small_Pct_200_EMA,Micro_Pct_20_EMA,Micro_Pct_50_EMA,Micro_Pct_200_EMA
2025-09-16,2192,1429,735,1483,0,0,109,17,82,3,0,0,659729529777.02,222284711899.16,69,39,68.30953477660064,,,300.0,64.0,0,2.9679482864001008,694,108.04868026923319,0.6550712813882191,77.55102040816327,,,84.66666666666667,,,73.98373983739837,,,65.47406082289802,,
2025-09-17,2197,1276,896,1547,0,0,100,28,80,3,0,0,643620029808.93,306489144484.82,96,37,71.12643678160919,,,326.0,69.0,0,2.099976594240217,380,116.76121204346612,0.6781538169323006,79.59183673469387,,,83.33333333333334,,,78.54251012145748,,,68.45238095238095,,
2025-09-18,2195,1076,1085,1532,0,0,77,31,74,3,0,0,635415857323.26,315765407753.87,65,23,70.50161067648413,,,286.0,76.0,0,2.012303570049497,-9,104.17662065021794,0.49282080690086444,83.6734693877551,,,87.33333333333333,,,76.11336032388664,,,67.40166865315852,,
2025-09-19,2196,1057,1108,1496,0,0,94,31,72,3,0,0,820988356297.81,541654813143.5,90,34,68.81324747010119,,,271.0,90.0,0,1.5157039804219201,-51,90.79591190573967,0.629391445463025,77.55102040816327,,,86.0,,,73.68421052631578,,,66.05122096486004,,
2025-09-22,2202,732,1455,1295,0,0,86,59,75,5,0,0,510472500496.95,501655639901.33,67,24,59.4855305466238,,,257.0,121.0,0,1.0175755237125144,-723,45.301426369682034,0.4944033850860249,63.26530612244898,,,69.33333333333334,,,61.53846153846154,,,58.08561236623068,,
2025-09-23,2197,828,1346,1184,1132,0,84,41,72,5,0,0,488204583075.76,539918212903.8,69,21,54.336851766865536,53.29566854990584,,264.0,131.0,0,0.904219512153856,-518,16.427134104504347,0.6803171238410514,59.59595959595959,63.26530612244898,,61.33333333333333,66.89655172413794,,57.028112449799195,59.50413223140496,,53.004164187983335,50.57962172056132,
2025-09-24,2197,581,1595,994,1016,0,62,54,65,5,0,0,366461098465.87,545323288943.97003,38,9,45.61725562184488,47.54328497894244,,232.0,154.0,0,0.6720070569053773,-1014,-33.142521452745115,0.542052823910501,54.54545454545454,63.26530612244898,,52.0,59.310344827586206,,48.8,54.54545454545454,,44.047619047619044,44.55205811138014,
2025-09-25,2199,526,1651,783,872,0,48,61,76,6,0,0,364805051698.65,591482500487.84,17,8,35.900962861072905,40.76671341748481,,194.0,156.0,0,0.6167638964756373,-1125,-80.9088643469297,0.5165587558800664,47.474747474747474,55.10204081632652,,43.333333333333336,53.103448275862064,,36.0,48.760330578512395,,34.54221165279429,37.66626360338573,
2025-09-26,2202,272,1913,474,599,0,21,203,69,6,0,0,198776826534.45,739740366403.22,8,5,21.73314993122421,27.96451914098973,,131.0,318.0,0,0.26871161229267215,-1641,-147.14454319972288,0.5291362306485061,35.0,46.464646464646464,,22.14765100671141,35.41666666666667,,20.4,34.5679012345679,,21.105826397146256,25.24154589371981,
2025-09-29,2210,929,1260,483,601,0,89,82,70,8,0,0,741335275217.9,560024077979.21,24,20,22.115384615384613,28.01864801864802,,158.0,346.0,0,1.3237560747238035,-331,-137.5403259028624,0.5569769245093782,38.0,48.484848484848484,,29.53020134228188,40.689655172413794,,19.2,31.40495867768595,,20.949554896142434,25.195901145268234,
2025-09-30,2210,1024,1157,512,605,0,61,43,55,8,0,0,538215490203.87,439492273203.32,11,6,23.42177493138152,28.17885421518398,,171.0,328.0,0,1.2246301539723625,-133,-118.74101848453239,0.7227059809527522,42.42424242424242,48.97959183673469,,30.201342281879196,36.55172413793103,,23.200000000000003,31.818181818181817,,21.741706161137444,25.691937424789412,
2025-10-01,2215,1654,537,717,760,0,168,13,62,9,0,0,791878536713.76,167110402481.15,21,11,32.769652650822664,35.33240353324035,,318.0,138.0,0,4.7386549547586965,1117,-39.57390554943757,0.6499891883421866,49.494949494949495,58.16326530612245,,40.26845637583892,42.758620689655174,,32.4,42.561983471074385,,31.183431952662723,32.292917166866744,
2025-10-03,2219,1540,648,948,901,0,154,20,61,5,0,0,686444066158.05,396466579123.33,44,10,43.28767123287671,41.86802973977695,,383.0,76.0,0,1.7314046184528065,892,17.0618455378157,1.3726099517940769,58.58585858585859,61.224489795918366,,51.33333333333333,50.68493150684932,,44.57831325301205,49.17355371900827,,41.48936170212766,38.895558223289314,
2025-10-06,2220,967,1236,980,954,0,103,48,64,7,0,0,591201205179.4,337467240274.44,56,29,44.74885844748858,44.35146443514644,,425.0,81.0,0,1.7518773220679522,-269,7.35010348972817,0.4465851858970869,61.61616161616161,62.244897959183675,,56.00000000000001,54.421768707483,,48.19277108433735,50.62240663900415,,42.25768321513003,41.5015015015015,
2025-10-07,2220,945,1253,971,938,0,86,54,58,4,0,0,568837078727.17,387869502721.23,33,18,44.277245782033745,43.52668213457076,,343.0,122.0,0,1.4665682007346135,-308,-2.940186478835315,0.5142549414028992,68.68686868686868,65.3061224489796,,57.04697986577181,60.273972602739725,,50.602409638554214,49.79253112033195,,40.80188679245283,39.880239520958085,
2025-10-08,2220,760,1436,882,889,0,96,40,56,6,0,0,422463157278.16,448342414553.86,41,27,40.21887824897401,41.27205199628598,,285.0,142.0,0,0.9422779187590484,-676,-30.123683469562906,0.5616685908965509,60.60606060606061,61.224489795918366,,45.63758389261745,47.58620689655172,,44.97991967871486,50.82644628099173,,37.85377358490566,38.16656680647094,
2025-10-09,2221,1138,1064,961,940,0,111,56,72,4,0,0,665895255776.85,243550779266.03,37,21,43.82124943000456,43.6397400185701,,293.0,150.0,0,2.7341126059250254,74,-15.714954979287171,0.3911868406071746,67.67676767676768,63.26530612244898,,53.691275167785236,55.86206896551724,,50.806451612903224,49.586776859504134,,40.54213317619328,40.56321150389455,
2025-10-10,2220,1388,811,1077,1000,0,108,28,75,2,0,0,609071672806.91,308181960903.49,27,10,49.13321167883212,46.38218923933209,,315.0,124.0,0,1.9763378460547536,577,21.833082654795007,0.8659791278611328,72.72727272727273,67.3469387755102,,57.82312925170068,58.333333333333336,,58.87096774193549,54.132231404958674,,45.583038869257955,43.00239234449761,
2025-10-13,2226,649,1560,919,927,0,62,70,66,2,0,0,443026638578.2,419531756256.5,32,21,41.8488160291439,42.9365446966188,,281.0,154.0,0,1.0560026314343636,-911,-20.57251058133872,0.3939626935015907,61.61616161616161,66.3265306122449,,50.34013605442177,57.638888888888886,,51.012145748987855,52.69709543568465,,38.637698179682914,38.902147971360385,
2025-10-14,2225,499,1710,717,802,0,54,108,56,8,0,0,441931856159.39,504301001129.31,33,17,32.68003646308113,37.129629629629626,,224.0,206.0,0,0.8763255578887816,-1211,-71.72643024532638,0.3329959543796994,56.56565656565656,62.244897959183675,,41.78082191780822,48.95104895104895,,36.885245901639344,43.93305439330544,,29.91202346041056,33.69047619047619,
2025-10-15,2226,1481,729,884,898,0,122,40,50,8,0,0,753091827467.68,226774865515.27,35,22,40.23668639053255,41.55483572420176,,238.0,218.0,0,3.320878730335525,752,-16.95439940680916,0.6117507544073703,65.65656565656566,69.0721649484536,,56.849315068493155,57.34265734265735,,45.08196721311475,48.53556485355649,,36.65105386416862,37.63376932223543,
2025-10-16,2229,1350,852,998,966,0,108,41,50,9,0,0,711809241998.53,346467617891.54,33,22,45.44626593806922,44.66019417475729,,284.0,189.0,0,2.0544755274049997,498,17.260458957157113,0.7712464914344016,74.74747474747475,76.28865979381443,,60.689655172413794,63.38028169014085,,55.51020408163265,51.037344398340245,,41.00761570005858,40.34462269756388,
2025-10-17,2228,749,1461,909,893,0,62,67,50,6,0,0,562941973886.18,521860360354.42,37,24,41.43117593436646,41.30434782608695,,292.0,148.0,0,1.0787214677558206,-712,-14.072139436437539,0.4752501690320952,72.72727272727273,74.22680412371135,,55.55555555555556,60.99290780141844,,46.93877551020408,45.867768595041326,,37.63188745603752,37.098692033293695,
2025-10-20,2235,1307,909,996,942,0,127,56,43,8,0,0,669614133617.67,320564459923.12,56,25,45.29331514324693,43.51039260969977,,297.0,164.0,0,2.088859550357431,398,14.708849634221252,0.6883391389947298,69.6969696969697,72.16494845360825,,61.111111111111114,60.99290780141844,,53.87755102040816,53.30578512396694,,41.320864991233194,38.99109792284867,
2025-10-21,2218,1765,424,1185,1054,0,89,3,43,5,0,0,140027836543.0,52289957922.08,11,4,54.25824175824175,48.97769516728624,,278.0,126.0,0,2.6779106754873445,1341,86.39305104146338,1.5544715091064163,71.71717171717171,77.31958762886599,,66.89655172413794,67.6056338028169,,62.44897959183674,57.377049180327866,,50.97345132743363,44.5176752546435,
2025-10-23,2233,906,1302,1135,1048,0,104,76,35,6,0,0,623024992725.9299,525825045646.48,52,24,51.590909090909086,48.361790493770194,,320.0,135.0,0,1.1848522581475018,-396,60.4010779894481,0.5872905501727644,64.64646464646465,71.1340206185567,,60.689655172413794,66.43356643356644,,57.786885245901644,59.917355371900825,,49.18224299065421,43.85756676557864,
2025-10-24,2233,818,1387,1066,1012,0,64,43,36,6,0,0,436242969258.58997,431163265164.15,32,13,48.476580263756254,46.722068328716524,,257.0,122.0,0,1.0117813935087774,-569,29.225935640027785,0.5828947638356154,62.62626262626263,69.0721649484536,,54.166666666666664,61.97183098591549,,55.28455284552846,58.26446280991735,,46.198830409356724,42.49258160237389,
2025-10-27,2237,1151,1059,1103,1050,0,103,56,44,8,0,0,660424143504.9,285138992406.05,51,24,50.0,48.43173431734317,,271.0,175.0,0,2.3161481280754193,92,35.47505925307329,0.46925945566352933,62.88659793814433,73.68421052631578,,63.94557823129252,64.82758620689654,,56.09756097560976,61.57024793388429,,47.2027972027972,43.7129300118624,
2025-10-28,2235,888,1327,1064,1027,0,85,49,41,11,0,0,609922614713.73,532483862744.32,59,30,48.23209428830462,47.32718894009217,,252.0,148.0,0,1.145429293517291,-439,14.090684645961815,0.5842164174848448,59.375,70.2127659574468,,62.16216216216216,69.44444444444444,,56.50406504065041,56.14754098360656,,45.22144522144522,42.89099526066351,
2025-10-29,2230,1488,723,1236,1135,0,119,35,55,8,0,0,761712383640.98,344814009539.43,81,38,56.029011786038076,52.352398523985244,,307.0,140.0,0,2.2090528881242224,765,55.9365909336517,0.9316622962561464,61.458333333333336,74.46808510638297,,76.51006711409396,75.86206896551724,,64.51612903225806,64.19753086419753,,52.71453590192644,47.39027283511269,
2025-10-30,2231,825,1384,1191,1125,0,67,32,58,8,0,0,491563647154.06,518054064601.2,46,22,53.89140271493213,51.867219917012456,,271.0,116.0,0,0.948865534973688,-559,25.23515785495828,0.6282220651120318,55.670103092783506,68.81720430107528,,72.2972972972973,71.03448275862068,,60.483870967741936,61.31687242798354,,51.2521840419336,47.92654028436019,
2025-10-31,2231,774,1425,1058,1055,0,72,44,59,8,0,0,517036683148.41,566834684358.3099,44,17,47.85165083672546,48.5951174573929,,258.0,111.0,0,0.9121472228411951,-651,-5.74074321659937,0.5954717408929147,53.608247422680414,67.02127659574468,,61.904761904761905,65.03496503496503,,48.59437751004016,55.96707818930041,,46.216530849825375,45.12123004139562,
