Date,Total_Universe,Advances,Declines,Above_20_EMA,Above_50_EMA,Above_200_EMA,Up_4_Count,Down_4_Count,Up_25_1M_Count,Down_25_1M_Count,New_52W_Highs,New_52W_Lows,IPO_New_Highs,Total_Up_Volume,Total_Down_Volume,T3_Breakouts,T3_Wins,Pct_Above_20_EMA,Pct_Above_50_EMA,Pct_Above_200_EMA,Rolling_3D_Up_4,Rolling_3D_Down_4,Net_52W_High_Low,Volume_Ratio,AD_Spread,MCO,TRIN,Large_Pct_20_EMA,Large_Pct_50_EMA,Large_Pct_200_EMA,Mid_Pct_20_EMA,Mid_Pct_50_EMA,Mid_Pct_200_EMA,Small_Pct_20_EMA,Small_Pct_50_EMA,Small_Pct_200_EMA,Micro_Pct_20_EMA,Micro_Pct_50_EMA,Micro_Pct_200_EMA,T3_Breakouts_5D,T3_Wins_5D,Composite_Score,Intraday_Volume_Points,Unchanged
2018-07-11,341,104,233,167,135,0,10,14,1,3,0,0,11,134171766911.31,118154565656.63,5,4,50.15015015015016,40.78549848942598,,66.0,20.0,0,1.1355614246954089,-129.0,14.751961660678084,0.3930671838823663,44.329896907216494,39.175257731958766,,53.02013422818792,41.891891891891895,,51.72413793103448,40.69767441860465,,,,,20.0,15.0,56,,
2018-07-12,338,143,190,165,141,0,9,12,1,3,0,0,10,135472664793.05,114725342783.73,5,2,50.15197568389058,43.11926605504588,,43.0,29.0,0,1.1808434083167745,-47.0,12.17777427638816,0.6373678115544569,47.42268041237113,41.23711340206185,,51.006711409395976,45.27027027027027,,51.80722891566265,41.46341463414634,,,,,25.0,17.0,55,,
2018-07-13,340,87,250,134,117,0,5,29,0,3,0,0,9,121870278481.61,125092049290.81,13,6,40.24024024024024,35.34743202416919,,24.0,55.0,0,0.9742447995099184,-163.0,4.115955191438335,0.3571997512073526,41.23711340206185,37.11340206185567,,37.333333333333336,34.899328859060404,,44.18604651162791,34.11764705882353,,,,,35.0,21.0,41,,
2018-07-16,334,36,293,79,86,0,3,90,0,7,0,0,2,52762282227.15,170768344709.81,9,3,24.233128834355828,26.54320987654321,,17.0,131.0,0,0.3089699224807149,-257.0,-7.497479902150957,0.3976661974455499,29.59183673469388,27.55102040816326,,19.463087248322147,24.324324324324326,,26.58227848101265,29.48717948717949,,,,,40.0,21.0,25,,
2018-07-17,326,244,77,113,103,0,35,8,0,7,0,0,2,181811726686.42,50470296267.37,13,3,35.3125,32.38993710691824,,43.0,127.0,0,3.602351088316569,167.0,3.810520492340945,0.8796563941556318,41.83673469387755,32.6530612244898,,30.87248322147651,31.756756756756754,,35.61643835616438,33.33333333333333,,,,,45.0,18.0,25,,
2018-07-18,321,93,227,98,95,0,8,28,1,7,0,0,2,79923749724.19,159649706591.06,4,0,31.11111111111111,30.25477707006369,,46.0,126.0,0,0.5006194588813954,-134.0,-1.590191772830181,0.8183693675658931,38.775510204081634,35.714285714285715,,28.85906040268457,28.37837837837838,,25.0,26.47058823529412,,,,,44.0,14.0,14,,
2018-07-19,320,114,203,85,89,0,6,21,1,7,0,0,4,103249047505.41,123519625620.58,1,0,26.984126984126984,28.343949044585987,,49.0,57.0,0,0.8358918429899074,-89.0,-3.949849800687332,0.6718289685314986,36.734693877551024,36.734693877551024,,21.47651006711409,24.324324324324326,,25.0,25.0,,,,,40.0,12.0,14,,
2018-07-20,323,198,122,105,93,0,23,12,5,5,0,0,6,178992001180.23,68691982011.46,3,0,33.22784810126582,29.52380952380953,,37.0,61.0,0,2.605718978240698,76.0,2.3023918344982377,0.6228418464250115,42.85714285714285,38.775510204081634,,31.08108108108108,26.53061224489796,,24.285714285714285,22.857142857142858,,,,,30.0,6.0,24,,
2018-07-23,321,225,92,134,108,0,34,11,5,6,0,0,8,197130202991.81,68904412118.92,1,1,42.81150159744409,34.61538461538461,,63.0,44.0,0,2.86092279042435,133.0,10.486546473409405,0.854847317830024,50.0,38.775510204081634,,39.59731543624161,32.432432432432435,,39.39393939393939,33.33333333333333,,,,,22.0,4.0,31,,
2018-07-24,322,251,67,194,136,0,69,3,3,3,0,0,9,209896809232.79,78756349787.11,4,3,61.39240506329114,43.17460317460318,,126.0,26.0,0,2.665141411456625,184.0,19.981565957311407,1.4056547395993169,63.26530612244898,46.93877551020408,,61.74496644295302,42.567567567567565,,57.971014492753625,39.130434782608695,,,,,13.0,4.0,36,,
2018-07-25,325,156,166,199,141,0,20,10,3,2,0,0,8,148211921943.12,119081085883.77,7,5,62.57861635220125,44.479495268138805,,123.0,24.0,0,1.244630252093799,-10.0,18.299899786261065,0.7550507747691764,61.224489795918366,47.95918367346938,,65.77181208053692,44.29530201342282,,57.74647887323944,40.0,,,,,16.0,9.0,50,,
